ibraRegion,epbcStatus,totalRecords,protectedRecords,speciesCount,protectionRate
Arnhem Coast,Endangered,6461,6076,6,94.04
Arnhem Coast,Vulnerable,1117,881,12,78.87
Arnhem Plateau,Critically Endangered,41,41,1,100.0
Arnhem Plateau,Endangered,374,323,5,86.36
Arnhem Plateau,Vulnerable,636,630,10,99.06
Australian Alps,Critically Endangered,2258,964,14,42.69
Australian Alps,Endangered,4489,3486,17,77.66
Australian Alps,Vulnerable,4055,3638,43,89.72
Avon Wheatbelt,Critically Endangered,264,5,22,1.89
Avon Wheatbelt,Endangered,1766,37,80,2.1
Avon Wheatbelt,Vulnerable,692,49,33,7.08
Ben Lomond,Critically Endangered,55,23,5,41.82
Ben Lomond,Endangered,133,47,14,35.34
Ben Lomond,Vulnerable,570,90,27,15.79
Brigalow Belt North,Critically Endangered,85,50,6,58.82
Brigalow Belt North,Endangered,356,49,23,13.76
Brigalow Belt North,Vulnerable,1175,111,46,9.45
Brigalow Belt South,Critically Endangered,108,20,12,18.52
Brigalow Belt South,Endangered,25960,24381,50,93.92
Brigalow Belt South,Vulnerable,17961,14196,97,79.04
Broken Hill Complex,Critically Endangered,3,0,1,0.0
Broken Hill Complex,Endangered,6,0,3,0.0
Broken Hill Complex,Vulnerable,463,46,13,9.94
Burt Plain,Critically Endangered,13,0,2,0.0
Burt Plain,Endangered,8,0,2,0.0
Burt Plain,Vulnerable,172,39,10,22.67
Cape York Peninsula,Critically Endangered,2942,8,1,0.27
Cape York Peninsula,Endangered,369,156,17,42.28
Cape York Peninsula,Vulnerable,1794,351,37,19.57
Carnarvon,Critically Endangered,16,3,2,18.75
Carnarvon,Endangered,7,3,3,42.86
Carnarvon,Vulnerable,79,35,13,44.3
Central Arnhem,Endangered,153,15,3,9.8
Central Arnhem,Vulnerable,31,26,5,83.87
Central Kimberley,Critically Endangered,1,0,1,0.0
Central Kimberley,Endangered,17,15,2,88.24
Central Kimberley,Vulnerable,47,38,3,80.85
Central Mackay Coast,Critically Endangered,2,1,2,50.0
Central Mackay Coast,Endangered,868,212,10,24.42
Central Mackay Coast,Vulnerable,1002,414,22,41.32
Central Ranges,Critically Endangered,40,38,2,95.0
Central Ranges,Vulnerable,420,389,7,92.62
Channel Country,Critically Endangered,33,16,3,48.48
Channel Country,Endangered,28,3,5,10.71
Channel Country,Vulnerable,1649,375,18,22.74
Cobar Peneplain,Critically Endangered,10,4,2,40.0
Cobar Peneplain,Endangered,413,213,12,51.57
Cobar Peneplain,Vulnerable,1198,237,28,19.78
Coolgardie,Critically Endangered,46,26,7,56.52
Coolgardie,Endangered,245,13,19,5.31
Coolgardie,Vulnerable,289,76,11,26.3
Coral Sea,Endangered,1,1,1,100.0
Coral Sea,Vulnerable,8,8,3,100.0
Daly Basin,Critically Endangered,6,0,1,0.0
Daly Basin,Endangered,263,85,3,32.32
Daly Basin,Vulnerable,53,7,6,13.21
Dampierland,Critically Endangered,24,2,2,8.33
Dampierland,Endangered,127,71,4,55.91
Dampierland,Vulnerable,65,4,7,6.15
Darling Riverine Plains,Critically Endangered,45,11,5,24.44
Darling Riverine Plains,Endangered,150,49,10,32.67
Darling Riverine Plains,Vulnerable,1220,110,30,9.02
Darwin Coastal,Critically Endangered,2504,127,2,5.07
Darwin Coastal,Endangered,5291,2038,17,38.52
Darwin Coastal,Vulnerable,1474,540,19,36.64
Davenport Murchison Ranges,Endangered,12,1,2,8.33
Davenport Murchison Ranges,Vulnerable,77,0,6,0.0
Desert Uplands,Endangered,72,53,7,73.61
Desert Uplands,Vulnerable,69,15,13,21.74
Einasleigh Uplands,Critically Endangered,170,76,6,44.71
Einasleigh Uplands,Endangered,116,12,14,10.34
Einasleigh Uplands,Vulnerable,815,64,38,7.85
Esperance Plains,Critically Endangered,199,142,12,71.36
Esperance Plains,Endangered,1125,765,49,68.0
Esperance Plains,Vulnerable,600,428,28,71.33
Eyre Yorke Block,Critically Endangered,210,2,6,0.95
Eyre Yorke Block,Endangered,2648,724,42,27.34
Eyre Yorke Block,Vulnerable,29688,1480,39,4.99
Finke,Critically Endangered,7,0,5,0.0
Finke,Endangered,14,0,8,0.0
Finke,Vulnerable,91,6,15,6.59
Flinders Lofty Block,Critically Endangered,1077,36,10,3.34
Flinders Lofty Block,Endangered,8315,245,44,2.95
Flinders Lofty Block,Vulnerable,17631,1014,56,5.75
Furneaux,Critically Endangered,103,34,11,33.01
Furneaux,Endangered,926,700,29,75.59
Furneaux,Vulnerable,590,340,39,57.63
Gascoyne,Critically Endangered,24,13,1,54.17
Gascoyne,Endangered,1,0,1,0.0
Gascoyne,Vulnerable,23,13,5,56.52
Gawler,Critically Endangered,2,0,1,0.0
Gawler,Endangered,50,5,9,10.0
Gawler,Vulnerable,793,134,17,16.9
Geraldton Sandplains,Critically Endangered,78,25,5,32.05
Geraldton Sandplains,Endangered,945,119,49,12.59
Geraldton Sandplains,Vulnerable,590,204,21,34.58
Gibson Desert,Critically Endangered,23,12,2,52.17
Gibson Desert,Vulnerable,12,12,1,100.0
Great Sandy Desert,Critically Endangered,28,23,2,82.14
Great Sandy Desert,Endangered,19,17,5,89.47
Great Sandy Desert,Vulnerable,356,230,9,64.61
Great Victoria Desert,Critically Endangered,19,7,2,36.84
Great Victoria Desert,Endangered,200,195,1,97.5
Great Victoria Desert,Vulnerable,582,430,16,73.88
Gulf Coastal,Endangered,269,56,7,20.82
Gulf Coastal,Vulnerable,144,110,8,76.39
Gulf Fall and Uplands,Endangered,270,35,5,12.96
Gulf Fall and Uplands,Vulnerable,72,35,6,48.61
Gulf Plains,Critically Endangered,1,0,1,0.0
Gulf Plains,Endangered,73,34,6,46.58
Gulf Plains,Vulnerable,163,44,16,26.99
Hampton,Endangered,26,21,3,80.77
Hampton,Vulnerable,10,8,3,80.0
Indian Tropical Islands,Critically Endangered,184,142,7,77.17
Indian Tropical Islands,Endangered,231,133,4,57.58
Indian Tropical Islands,Vulnerable,9,6,3,66.67
Jarrah Forest,Critically Endangered,276,125,21,45.29
Jarrah Forest,Endangered,829,229,70,27.62
Jarrah Forest,Vulnerable,794,317,49,39.92
Kanmantoo,Critically Endangered,967,9,6,0.93
Kanmantoo,Endangered,4164,1557,31,37.39
Kanmantoo,Vulnerable,2966,895,38,30.18
King,Critically Endangered,83,38,8,45.78
King,Endangered,582,342,20,58.76
King,Vulnerable,255,74,18,29.02
Little Sandy Desert,Critically Endangered,29,10,2,34.48
Little Sandy Desert,Endangered,1,0,1,0.0
Little Sandy Desert,Vulnerable,4,0,3,0.0
MacDonnell Ranges,Critically Endangered,263,258,2,98.1
MacDonnell Ranges,Endangered,139,55,5,39.57
MacDonnell Ranges,Vulnerable,525,285,23,54.29
Mallee,Critically Endangered,28,7,4,25.0
Mallee,Endangered,433,78,29,18.01
Mallee,Vulnerable,334,59,18,17.66
Mitchell Grass Downs,Critically Endangered,3,0,3,0.0
Mitchell Grass Downs,Endangered,64,28,7,43.75
Mitchell Grass Downs,Vulnerable,273,49,19,17.95
Mount Isa Inlier,Endangered,1,0,1,0.0
Mount Isa Inlier,Vulnerable,17,2,4,11.76
Mulga Lands,Critically Endangered,24,9,3,37.5
Mulga Lands,Endangered,124,45,7,36.29
Mulga Lands,Vulnerable,780,503,24,64.49
Murchison,Critically Endangered,58,11,4,18.97
Murchison,Endangered,64,0,5,0.0
Murchison,Vulnerable,21,2,5,9.52
Murray Darling Depression,Critically Endangered,279,48,11,17.2
Murray Darling Depression,Endangered,4908,2859,48,58.25
Murray Darling Depression,Vulnerable,14261,10636,65,74.58
NSW North Coast,Critically Endangered,3010,996,13,33.09
NSW North Coast,Endangered,6521,2578,63,39.53
NSW North Coast,Vulnerable,36062,12413,90,34.42
NSW South Western Slopes,Critically Endangered,1366,602,11,44.07
NSW South Western Slopes,Endangered,5950,614,36,10.32
NSW South Western Slopes,Vulnerable,11819,1516,71,12.83
Nandewar,Critically Endangered,76,0,4,0.0
Nandewar,Endangered,2089,137,20,6.56
Nandewar,Vulnerable,2154,366,46,16.99
Naracoorte Coastal Plain,Critically Endangered,115,12,7,10.43
Naracoorte Coastal Plain,Endangered,2924,1149,33,39.3
Naracoorte Coastal Plain,Vulnerable,2944,1152,45,39.13
New England Tablelands,Critically Endangered,400,108,12,27.0
New England Tablelands,Endangered,2088,760,42,36.4
New England Tablelands,Vulnerable,11519,3634,73,31.55
Northern Kimberley,Endangered,95,63,3,66.32
Northern Kimberley,Vulnerable,73,63,8,86.3
Nullarbor,Critically Endangered,1,1,1,100.0
Nullarbor,Endangered,51,47,5,92.16
Nullarbor,Vulnerable,37,17,8,45.95
Ord Victoria Plain,Critically Endangered,39,0,1,0.0
Ord Victoria Plain,Endangered,135,20,4,14.81
Ord Victoria Plain,Vulnerable,18,0,4,0.0
Pacific Subtropical Islands,Critically Endangered,400,254,22,63.5
Pacific Subtropical Islands,Endangered,1046,626,22,59.85
Pacific Subtropical Islands,Vulnerable,395,271,21,68.61
Pilbara,Critically Endangered,86,31,2,36.05
Pilbara,Endangered,6,0,3,0.0
Pilbara,Vulnerable,25,3,7,12.0
Pine Creek,Critically Endangered,108,8,1,7.41
Pine Creek,Endangered,2152,773,8,35.92
Pine Creek,Vulnerable,1208,639,15,52.9
Riverina,Critically Endangered,3442,715,9,20.77
Riverina,Endangered,6830,1725,28,25.26
Riverina,Vulnerable,16055,4128,46,25.71
Simpson Strzelecki Dunefields,Critically Endangered,6,1,2,16.67
Simpson Strzelecki Dunefields,Endangered,13,9,3,69.23
Simpson Strzelecki Dunefields,Vulnerable,1370,166,17,12.12
South East Coastal Plain,Critically Endangered,1442,72,19,4.99
South East Coastal Plain,Endangered,10869,1873,58,17.23
South East Coastal Plain,Vulnerable,20486,4932,80,24.07
South East Corner,Critically Endangered,696,200,12,28.74
South East Corner,Endangered,6889,2180,36,31.64
South East Corner,Vulnerable,10213,3731,84,36.53
South Eastern Highlands,Critically Endangered,4243,1262,44,29.74
South Eastern Highlands,Endangered,41098,10392,94,25.29
South Eastern Highlands,Vulnerable,33449,7584,175,22.67
South Eastern Queensland,Critically Endangered,2104,598,21,28.42
South Eastern Queensland,Endangered,29543,6221,84,21.06
South Eastern Queensland,Vulnerable,52319,9795,149,18.72
Southern Volcanic Plain,Critically Endangered,701,38,12,5.42
Southern Volcanic Plain,Endangered,4698,236,41,5.02
Southern Volcanic Plain,Vulnerable,18125,822,66,4.54
Stony Plains,Critically Endangered,4,1,2,25.0
Stony Plains,Endangered,414,28,5,6.76
Stony Plains,Vulnerable,1912,53,10,2.77
Sturt Plateau,Endangered,6,1,2,16.67
Sturt Plateau,Vulnerable,98,2,6,2.04
Subantarctic Islands,Critically Endangered,131,131,4,100.0
Subantarctic Islands,Endangered,1951,1951,4,100.0
Subantarctic Islands,Vulnerable,1665,1665,9,100.0
Swan Coastal Plain,Critically Endangered,245,9,12,3.67
Swan Coastal Plain,Endangered,732,49,57,6.69
Swan Coastal Plain,Vulnerable,480,112,37,23.33
Sydney Basin,Critically Endangered,8044,1296,27,16.11
Sydney Basin,Endangered,28650,9603,99,33.52
Sydney Basin,Vulnerable,131083,30340,165,23.15
Tanami,Critically Endangered,9,4,2,44.44
Tanami,Endangered,8,4,4,50.0
Tanami,Vulnerable,943,692,8,73.38
Tasmanian Central Highlands,Critically Endangered,11,8,2,72.73
Tasmanian Central Highlands,Endangered,321,147,12,45.79
Tasmanian Central Highlands,Vulnerable,214,35,21,16.36
Tasmanian Northern Midlands,Critically Endangered,125,36,10,28.8
Tasmanian Northern Midlands,Endangered,224,55,13,24.55
Tasmanian Northern Midlands,Vulnerable,256,39,23,15.23
Tasmanian Northern Slopes,Critically Endangered,219,25,8,11.42
Tasmanian Northern Slopes,Endangered,445,43,12,9.66
Tasmanian Northern Slopes,Vulnerable,231,30,17,12.99
Tasmanian South East,Critically Endangered,1340,550,27,41.04
Tasmanian South East,Endangered,1490,540,32,36.24
Tasmanian South East,Vulnerable,761,299,42,39.29
Tasmanian Southern Ranges,Critically Endangered,104,38,6,36.54
Tasmanian Southern Ranges,Endangered,128,64,17,50.0
Tasmanian Southern Ranges,Vulnerable,78,38,17,48.72
Tasmanian West,Critically Endangered,36,14,3,38.89
Tasmanian West,Endangered,268,220,17,82.09
Tasmanian West,Vulnerable,211,182,18,86.26
Tiwi Cobourg,Endangered,1394,236,10,16.93
Tiwi Cobourg,Vulnerable,3103,2262,12,72.9
Victoria Bonaparte,Critically Endangered,2,2,1,100.0
Victoria Bonaparte,Endangered,359,82,7,22.84
Victoria Bonaparte,Vulnerable,91,36,9,39.56
Victorian Midlands,Critically Endangered,2916,790,13,27.09
Victorian Midlands,Endangered,4829,1581,44,32.74
Victorian Midlands,Vulnerable,10005,2927,55,29.26
Warren,Critically Endangered,158,101,9,63.92
Warren,Endangered,253,153,26,60.47
Warren,Vulnerable,283,229,19,80.92
Wet Tropics,Critically Endangered,587,502,16,85.52
Wet Tropics,Endangered,838,524,42,62.53
Wet Tropics,Vulnerable,2897,1344,74,46.39
Yalgoo,Critically Endangered,75,68,5,90.67
Yalgoo,Endangered,73,51,5,69.86
Yalgoo,Vulnerable,77,49,6,63.64
